[ 2017-05-02T14:52:03+08:00 ] 127.0.0.1 /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | INFO: Tag[ route_check ] --START--
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | INFO: Run CheckRoute Behavior [ RunTime:0.000355s ]
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000427s ]
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000258s ]
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000283s ]
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | NOTIC: [8] Undefined variable: log_res MemberAction.class.php 第 97 行.
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | INFO: Tag[ view_template ] --START--
[ 2017-05-02T14:52:03+08:00 ] /member/login?redirecturl=%2Forder%2Forder_info%2Foid%2F1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000471s ]
